2 37,77468 0 0 0 0 347 347 370 370 76 0 -3 1,109246 -0,3099416 -7,076967
2 37,76733 0 0 0 0 347 347 369 369 76 0 -3 1,367754 -0,3409046 -1,865252
2 37,73899 0 0 0 0 347 347 368 369 76 0 -3 1,382187 -0,05020215 -0,5358466
2 37,71616 0 0 0 0 347 347 368 368 76 0 -3 1,205436 -0,0825533 0,9603738
2 37,76815 0 0 0 0 347 347 367 367 255 0 -2 0,8998658 -1,047097 -6,631083
2 37,75957 0 0 0 0 347 347 366 366 255 0 -2 0,9355023 -1,759217 6,089076
2 37,85715 0 0 0 0 347 347 366 366 255 0 -1 1,200519 -1,630456 -8,122138
2 37,96132 0 0 0 0 347 347 365 366 255 0 -1 1,364981 -1,312825 -6,434028
2 38,16543 0 0 0 0 347 347 365 365 255 0 0 1,173711 -0,5276642 -11,44654
2 38,35281 0 0 0 0 347 347 364 365 255 0 0 1,00869 -0,614656 -12,71751
2 38,58034 0 0 0 0 347 347 365 365 255 0 0 0,9205647 -0,6213885 -13,76515
2 38,84722 0 0 0 0 347 347 365 365 255 0 0 0,9003366 -0,3503256 -14,63741
2 39,07154 0 0 0 0 347 347 365 365 255 0 0 0,8737594 -0,09978303 -15,08916
2 39,32169 0 0 0 0 346 347 365 365 255 0 0 0,8318048 0,1966116 -15,08933
2 39,59238 0 0 0 0 346 347 366 365 255 0 0 0,7656138 0,4289654 -14,76322
2 39,81268 0 0 0 0 346 347 365 365 255 0 0 0,6989532 0,5700588 -14,72763
2 40,05632 0 0 0 0 346 347 365 365 255 0 0 0,6521194 0,5149396 -14,54406
2 40,31909 0 0 0 0 346 347 365 365 255 0 0 0,602183 0,2585581 -14,25449
2 40,53385 0 0 0 0 346 347 365 365 255 0 0 0,5502152 0,280623 -14,29863
2 40,77037 0 0 0 0 346 347 365 365 255 0 0 0,478404 0,2765522 -14,15619
2 41,02267 0 0 0 0 346 347 365 365 255 0 0 0,4082295 0,1661536 -13,70033
2 41,22839 0 0 0 0 346 347 365 365 255 0 0 0,3778836 0,02784964 -13,74333
